Start Date	End Date	Archive Type	Rows	Size	URL	Added
07/01/2017 12:00:00 AM	07/31/2017 12:00:00 AM	Monthly	7307323	187 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_07.zip	06/26/2019 11:16:53 AM
08/01/2017 12:00:00 AM	08/31/2017 12:00:00 AM	Monthly	7437339	190 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_08.zip	06/26/2019 12:07:48 PM
09/01/2017 12:00:00 AM	09/30/2017 12:00:00 AM	Monthly	7071319	181 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_09.zip	06/26/2019 12:56:12 PM
10/01/2017 12:00:00 AM	10/31/2017 12:00:00 AM	Monthly	7375180	188 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_10.zip	06/26/2019 01:46:53 PM
11/01/2017 12:00:00 AM	11/30/2017 12:00:00 AM	Monthly	7475630	191 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_11.zip	06/26/2019 02:37:55 PM
12/01/2017 12:00:00 AM	12/31/2017 12:00:00 AM	Monthly	7290400	186 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_12.zip	06/26/2019 03:27:36 PM
01/01/2018 12:00:00 AM	01/31/2018 12:00:00 AM	Monthly	7719915	199 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_01.zip	06/26/2019 04:22:57 PM
02/01/2018 12:00:00 AM	02/28/2018 12:00:00 AM	Monthly	6791117	175 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_02.zip	06/26/2019 05:09:27 PM
03/01/2018 12:00:00 AM	03/31/2018 12:00:00 AM	Monthly	7582672	195 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_03.zip	06/26/2019 06:01:45 PM
04/01/2018 12:00:00 AM	04/30/2018 12:00:00 AM	Monthly	7171060	185 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_04.zip	06/26/2019 06:49:35 PM
05/01/2018 12:00:00 AM	05/31/2018 12:00:00 AM	Monthly	7881736	205 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_05.zip	06/26/2019 07:43:00 PM
06/01/2018 12:00:00 AM	06/30/2018 12:00:00 AM	Monthly	7555783	196 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_06.zip	06/26/2019 08:35:19 PM
07/01/2018 12:00:00 AM	07/31/2018 12:00:00 AM	Monthly	7785749	200 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_07.zip	06/26/2019 09:28:02 PM
08/01/2018 12:00:00 AM	08/31/2018 12:00:00 AM	Monthly	7708057	198 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_08.zip	07/09/2019 02:27:03 PM
09/01/2018 12:00:00 AM	09/30/2018 12:00:00 AM	Monthly	7022622	182 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_09.zip	06/26/2019 11:09:13 PM
10/01/2018 12:00:00 AM	10/31/2018 12:00:00 AM	Monthly	7942287	206 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_10.zip	06/27/2019 12:06:13 AM
11/01/2018 12:00:00 AM	11/30/2018 12:00:00 AM	Monthly	7787959	202 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_11.zip	06/27/2019 01:03:45 AM
12/01/2018 12:00:00 AM	12/31/2018 12:00:00 AM	Monthly	7422770	192 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_12.zip	06/26/2019 09:36:36 AM
01/01/2019 12:00:00 AM	01/31/2019 12:00:00 AM	Monthly	7999322	204 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_01.zip	06/21/2019 12:00:00 AM
02/01/2019 12:00:00 AM	02/28/2019 12:00:00 AM	Monthly	7075453	181 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_02.zip	06/21/2019 12:00:00 AM
03/01/2019 12:00:00 AM	03/31/2019 12:00:00 AM	Monthly	8036983	204 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_03.zip	06/25/2019 12:00:00 AM
04/01/2019 12:00:00 AM	04/30/2019 12:00:00 AM	Monthly	7707465	203 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_04.zip	06/27/2019 12:28:10 PM
05/01/2019 12:00:00 AM	05/31/2019 12:00:00 AM	Monthly	8265334	211 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_05.zip	07/01/2019 07:24:14 AM
06/01/2019 12:00:00 AM	06/30/2019 12:00:00 AM	Monthly	4817109	123 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_06.zip	08/01/2019 07:03:41 AM
07/01/2019 12:00:00 AM	07/31/2019 12:00:00 AM	Monthly	6334417	162 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_07.zip	09/01/2019 07:17:02 AM
08/01/2019 12:00:00 AM	08/31/2019 12:00:00 AM	Monthly	7817869	198 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_08.zip	10/01/2019 07:22:49 AM
09/01/2019 12:00:00 AM	09/30/2019 12:00:00 AM	Monthly	7703909	198 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_09.zip	11/01/2019 07:34:24 AM
